query,query_id
"contracts were declared void as against public policy. Secrecy doomed the agreement. The cases demand frank dealing, where public interests are concerned. Secret efforts to touch the minds of the legislators, secrecy concerning the connection between lobbyist and client, these are the evils in the eyes of the tribunals. This same attitude towards legislative activities of agents whose principals are undisclosed is revealed by stat-. utes in many states requiring the registration of all lobbyists”. Public Utilities: Expenditures To Influence Public Opinion, 14 Cornell Law Quarterly 233-234 (note). Although the Board saw fit to ignore the circumstance, it might be noticed that the cases generally stress contingency of compensation as a sinister element in this class of contracts,  REDACTED The logic of this last position has been criticized in 14 Boston University Law Review 834 (note), above cited, but may, the writer should think, be justified on the ground that the necessary size of a contingent fee adds to the temptation of impropriety. Whatever, then, the ultimately correct decision, it must be based on a repudiation of the Board of Tax Appeals’ theory of legitimacy. The writer proceeds, then, on the as-, sumption that the expenses here claimed deductible have met with the condemnation of every student, judicial or otherwise, of public affairs in a democracy, who has expressed his thoughts on the matter. Does that universal condemnation constitute a mandatory gloss of the adjectives “ordinary” and “necessary”",614744
"the presence of a witness only if he can “make some plausible showing of how their testimony would [be] both material and favorable to his defense.” United States v. Valenzuela-Bernal, 458 U.S. 858, 867 & n. 7, 102 S.Ct. 3440, 3446 & n. 7, 73 L.Ed.2d 1193 (1982); see Washington v. Texas, 388 U.S. 14, 16, 87 S.Ct. 1920, 1921, 18 L.Ed.2d 1019 (1967); see also Roviaro v. United States, 353 U.S. 53, 58-61, 77 S.Ct. 623, 626-28, 1 L.Ed.2d 639 (1957) (imposing standards, through its supervisory powers, for when the government must reveal the name of a confidential informant); United States v. Ariza-Ibarra, 651 F.2d 2, 13-15 (1st Cir.1981) (discussing Roviaro standards). This circuit has followed this teaching. See  REDACTED Campbell has failed to make a sufficient showing of how GI’s testimony would be favorable and material to his case. GI was an informer on a specific matter wholly unrelated to the instant action. He worked for Campbell in 1984 and in September of that year Campbell learned that GI was an informer. The alleged criminal activity at issue here took place in January of 1987. There is no indication of any contact between the two in the months preceding Campbell’s alleged criminal activities. Neither at the district level nor on appeal has Campbell been able to point to any poten tial testimonial evidence by GI that would be material and favorable to his defense. Campbell’s argument that the mere",128915
"his motion for reconsideration and, thus, is raised for the first time on appeal and will not be considered. See Stewart Glass & Mirror, Inc. v. U.S. Auto Glass Disc. Ctrs., Inc., 200 F.3d 307, 316-17 (5th Cir. 2000). Nonetheless, the assertion is belied by the record as the docket sheet reflects that the parties were notified of the district court’s order. We agree with the Government that Carbe’s notice of appeal, dated December 2, 2015, was not timely as to the August order granting his motion to reduce his sentence. Although Federal Rule of Appellate Procedure 4(b) is not jurisdictional, a defendant may not have his untimeliness disregarded when the Government timely objects, as is the case here. See  REDACTED United States v. Hernandez-Gomez, 795 F.3d 510, 511 (5th Cir. 2015). Nor can we ignore that the Government has timely objected to the untimeliness of Carbe’s motion for reconsideration filed in the district court. As such, the Government’s motion for summary affirmance is GRANTED. The Government’s alternative motions for dismissal as frivolous and for an extension of time to file a brief are DENIED. Pursuant to 5th Cir. R. 47.5, the court has determined that this opinion should not be published and is not precedent except under the limited circumstances set forth in 5th Cir. R. 47.5.4.",346219
"basis; (2) whether the debtor can carry out a plan without discrimination; (3) whether the discrimination is proposed in good faith; and (4) whether the degree of discrimination is directly related to the basis or rationale for the discrimination. In re Leser, 939 F.2d 669, 672 (8th Cir.1991); Amfac Distrib Corp. v. Wolff (In re Wolff), 22 B.R. 510 (9th Cir. BAP 1982). This test, however, has been criticized. See, e.g., Bentley v. Boyajian (In re Bentley), 266 B.R. 229 (1st Cir. BAP 2001); In re Colley, 260 B.R. 532, 539 (Bankr.M.D.Fla.2000). Given the lack of uniformity in the approaches taken, some courts have held that determinations of fairness under § 1322(b)(1) should be made on a case-by-case basis. See, e.g.,  REDACTED In re Golfer, 159 B.R. 602, 611 (Bankr.D.Me.1993). In In re Kalfayan, 415 B.R. 907 (Bankr.S.D.Fla.2009), I looked to the Leser /Wolff test, the criticism of that test, and the argument that § 1322(b)(5) explicitly makes discrimination in favor of long term debt “fair.” Id. at 910. I concluded that discrimination in Kalfayan was fair because not discriminating in favor of the student loan obligation would have endangered that debtor’s professional license under Florida law. Id. The creditors being discriminated against therefore benefitted because discrimination fortified the debt- or’s income stream. Id. at 910-11. Because I concluded that discrimination was fair in Kalfayan, and because it involved a long-term obligation, I held that § 1322(b)(5) explicitly allowed that debt- or’s Chapter",700551
"might be exclusive, because special in character. Indeed, once granted the remedy is not exclusive, even if neither Michigan nor the foreign jurisdiction had a procedural statute, and granting the suit is otherwise properly maintainable in either jurisdiction, then either jurisdiction may permit access to its own forums. As already shown, there is an obvious difference between a suit by a single creditor against a single stockholder or group of stockholders on a liability which, as here, is several in character, and a suit where a general settlement of corporate affairs is contemplated, including distribution of assets and an adjustment of all liabilities, for which jurisdiction over the corporation and a joining- of all parties in the suit becomes necessary. See  REDACTED 5 S. Ct. 497, 28 L. Ed. 991. Defendant has stressed the point that the statute now invoked by the plaintiff's was enacted sixty-seven years ago, and that the reported eases of the state of Michigan fail to contain a single decision during all that period where anyone has sought to invoke the statute as have the plaintiffs. While this fact is noteworthy, it concludes nothing other than that a court outside of the state of Michigan should be careful to see that no construction is placed upon the statute which does violence to what its language, fairly construed, must be taken to have intended. We need not speculate as to the reason for this absence of state decisions, although it is",358064
"court refused, properly, to apply Lee, because it was decided after Miller’s trial. Id. at 33 n. 8.) Extra-judicial confessions can violate the Confrontation Clause because there is no opportunity to cross-examine the declarant. Cf. Crawford v. Washington, 541 U.S. 36, 124 S.Ct. 1354, 158 L.Ed.2d 177 (2004) (out-of-court testimonial statements barred by Confrontation Clause unless witness is unavailable and defendant had opportunity to cross-examine). For example, in Bruton v. United States, 391 U.S. 123, 88 S.Ct. 1620, 20 L.Ed.2d 476 (1968), the Supreme Court found a Confrontation Clause violation, despite a limiting jury instruction, when a co-defendant’s incriminating extra-judicial confession was admitted through an investigator’s testimony. The primary function of the Confrontation Clause is to protect the right of cross-examination,  REDACTED and, of course, one of the functions of cross-examination is to allow the jury to assess the credibility of the witness. See Mattox v. United States, 156 U.S. 237, 242-43, 15 S.Ct. 337, 39 L.Ed. 409 (1895). The district court noted: “Despite spanning numerous pages, the transcript of [Woods’] confession is remarkably devoid of even a single objection by [Miller’s] counsel”. USDC Opn. at 34. Similarly, it was “troubled by trial counsel’s failure to object to the prosecutor’s elicitation of Woods’ confession.... ” Id. at 36. As noted, and notwithstanding its expressed concerns about counsel’s performance, the district court held there was no Confrontation Clause violation because Miller was able to cross-examine another witness, Segura,",521752
"F.2d 1230, 1237-41 (10th Cir.1991); Kaiser Steel Corp. v. Charles Schwab & Co. (In re Kaiser Steel Corp.), 913 F.2d 846, 848-50 (10th Cir.1990); Bevill, 878 F.2d at 751-53. Despite the breadth of the meaning of the term settlement payment, courts recognize that it nevertheless has limits. KSC Recovery, Inc. v. First Boston Corp. (In re Kaiser Merger Litig.), 168 B.R. 991, 1001 (D.Colo.1994) (while “definition of ‘settlement payment’ is broad, it is not boundless”); Weinman v. Fid. Capital Appreciation Fund (In re Integra Realty Res., Inc.), 198 B.R. 352, 359-60 (Bankr.D.Colo.1996) (same). In determining those limits, courts consistently focus on the context of the statute as having been designed to protect public markets. E.g.,  REDACTED Jewel Recovery, L.P. v. Gordon, 196 B.R. 348, 352-53 (N.D.Tex.1996); Wieboldt Stores, Inc. v. Schottenstein, 131 B.R. 655, 663-65 (N.D.Ill.1991) (no effect on clearance or settlement process). The boundary that emerges from such decisions approximates the line between public transactions that involve the clearance and settlement process and non-public transactions that do not involve that process. Thus, common elements in decisions finding that there is not a protected settlement payment are that the securities involved are not publicly traded and public markets are not utilized. In most of these situations, there is no intermediary. Zahn v. Yucaipa Capital Fund, 218 B.R. 656, 675-77 (D.R.I.1998); Jewel Recovery, L.P., 196 B.R. 348, 351-53 (N.D.Tex.1996); KSC Recovery, Inc., 168 B.R. at",192612
"speech. The First Amendment challenge was twofold: First, the Charities claimed that subsections two and three of Section 2001.456 are facially unconstitutional because they are a direct abridgement of speech with no compelling or substantial justifying interest. Second, they claimed the law unconstitutionally discriminates between the Charities and similarly situated businesses, such as racetracks, which are not prohibited from using their revenue for political purposes. In light of the then-upcoming legislative session, the Charities moved for entry of a preliminary injunction barring enforcement of the political speech restrictions in Section 2001.456(2)-(3). The district court granted the Charities’ request on October 29, 2010 and explained its reasoning in an extensive opinion. Relying heavily on the Supreme Court’s opinion in  REDACTED  the district court concluded that the restrictions in Section 2001.456 violate the First Amendment because they burden political speech and fail to satisfy strict scrutiny. The district court also concluded that the restrictions are unconstitutional conditions because they require that, as a condition of participating in the state’s charitable bingo program, the Charities not exercise their right to engage in political speech. The Charities moved for summary judgment, which the district court granted, permanently enjoining the Commission from enforcing the invalid provisions. The Commission appealed. A unanimous panel of this court originally reversed the district court’s summary judgment in favor of the Charities and its permanent injunction preventing enforcement of the challenged statutory provisions. Dep’t of",234296
"findings of no discrimination or reprisal against Brown. This agency decision was appealed to the United States Civil Service Commission Appeals and Review Board where, in its decision of January 6, 1976, the Board affirmed the decision of the Postal Service. On February 6, 1976, Brown filed her complaint and a motion for leave to proceed in forma pauperis in this Court, which motion was granted on February 9, 1976. . Brown’s original complaint in this action alleged discrimination by the Postal Service on the basis of race, sex and reprisal. However, pursuant to a Fed.R.Civ.P. 15(a) stipulation to amend the complaint, approved by this Court on September 7, 1977, Brown filed an amended complaint which alleged only reprisal. . See  REDACTED . At the end of this conveyor belt, also known as the “junk belt,” the non-mail items, which often include trash and other debris, fall into a trash hamper. Consequently, any loose mail that is not removed from the “junk belt” by the mailhandler must later be extricated from the trash hamper. Movement of the belt is controlled by a pushbutton switch at the front end of the belt where the mail is unloaded. . Buchanon’s reasons for recommending a one-day suspension for Brown were as follows: This employee left her assignment without permission at approximately 0825, on Thursday May 17, 1973. When she returned at 0845, I attempted to talk to the employee so that",578263
"2254 Cases in United States District Courts requires this Court to issue or deny a CoA when it enters an order adverse to a federal habeas corpus petitioner. Under the AEDPA, before a petitioner may appeal the denial of a habeas corpus petition filed under Section 2254, the petitioner must obtain a CoA. Miller-El v. Cockrell, 537 U.S. 322, 335-36, 123 S.Ct. 1029, 1039, 154 L.Ed.2d 931 (2003); 28 U.S.C. § 2253(c)(2). Likewise, under the AEDPA, appellate review of a habeas petition is limited to the issues on which a CoA is granted. See Crutcher v. Cockrell, 301 F.3d 656, 658 n. 10 (5th Cir.2002) (holding a CoA is granted on an issue-by-issue basis, thereby limiting appellate review to those issues);  REDACTED Lackey v. Johnson, 116 F.3d 149, 151 (5th Cir.1997) (holding the scope of appellate review of denial of a habeas petition limited to the issues on which CoA has been granted). In other words, a CoA is granted or denied on an issue-by-issue basis, thereby limiting appellate review to those issues on which CoA is granted alone. Crutcher v. Cockrell, 301 F.3d at 658 n. 10; Lackey v. Johnson, 116 F.3d at 151; Hill v. Johnson, 114 F.3d at 80; Muniz v. Johnson, 114 F.3d at 45; Murphy v. Johnson, 110 F.3d 10, 11 n. 1 (5th Cir.1997); 28 U.S.C. § 2253(c)(3). B. The Standard for Obtaining a CoA A CoA will not be granted",439048
"Florida had not yet met those administrative requirements, does not excuse Hester’s failure to meet the registration requirements that SORNA imposes on individual sex offenders and to register with the programs that did exist.”); United States v. George, 579 F.3d 962, 965 (9th Cir.2009) (rejecting the argument “that an individual’s obligation to register is dependent on a state’s implementation of SORNA”). Heth acknowledged on three occasions his duty to register as a sex offender upon moving to a new jurisdiction. It is beyond dispute that Colorado had a sex offender registry; Texas also had a sex offender registry in which Heth could have registered, as was required of him. See Tex.Code Crim. Proc. Ann. arts. 62.001 et seq. (Vernon 2006);  REDACTED Heth was therefore not convicted of failing to do the impossible, and we hold that his due process challenge to SORNA is without merit. Our decision today is in accord with the unanimous decisions of other Courts of Appeals that have considered this same impossibility challenge to SORNA. See Hester, 589 F.3d at 93 (“[W]e also agree with our sister circuits and hold that compliance with SORNA is not ‘impossible’ in light of the fact that the states at issue had a registration program.”); United States v. Brown, 586 F.3d 1342, 1349 (11th Cir.2009) (“[A] sex offender is not exempt from SORNA’s",878484
"""Plaintiffs seek reimbursement for sums expended performing a contract with the Illinois Office of Education to provide meals to school children pursuant to the National School Lunch Act. Defendant’s motion for summary judgment, opposed by plaintiffs, maintains that defendant’s funding of the meal program was a sovereign act for which it cannot be held liable and that defendant did not contract with plaintiffs either directly or through the State of Illinois as defendant’s alleged agent. For the reasons stated below, we grant defendant’s motion and dismiss the petition. In this motion for summary judgment we consider all the facts in a light most favorable to the non-moving party.  REDACTED Housing Corp. of America v. United States, 199 Ct. Cl. 705, 710, 468 F. 2d 922, 924 (1972). Plaintiff Akiba South Side Jewish Day School, a non-profit corporation (hereinafter Akiba), was a """"service institution” or sponsor during the summer of 1977 pursuant to the National School Lunch Act, as amended, Pub. L. No. 94-105, 42 U.S.C. §§ 1751 et seq. (1976) (hereinafter act). The program established by the act is administered by the Department of Agriculture. Under the program grants-in-aid are given to states and the states contract with """"service institutions” or sponsors, such as plaintiff Akiba, to provide a food service for children during the summer months. Service institutions may in turn contract with food service management companies such""",744227
"who caused the deprivation acted under color of state law. West v. Atkins, 487 U.S. 42, 48, 108 S.Ct. 2250, 101 L.Ed.2d 40 (1988). Personal involvement can be shown through allegations that a defendant directed, had actual knowledge of, or acquiesced in, the deprivation of a plaintiffs constitutional rights. Evancho v. Fisher, 423 F.3d 347, 353 (3d Cir.2005) (citing Rode v. Dellarciprete, 845 F.2d 1195, 1207 (3d Cir.1988)); see Monell v. Department of Social Services, 436 U.S. 658, 694-95, 98 S.Ct. 2018, 56 L.Ed.2d 611 (1978). Supervisory liability may attach if the supervisor implemented deficient policies and was deliberately indifferent to the resulting risk or the supervisor’s actions and inactions were “the moving force” behind the harm suffered by the plaintiff.  REDACTED see also City of Canton v. Harris, 489 U.S. 378, 109 S.Ct. 1197, 103 L.Ed.2d 412 (1989); Heggenmiller v. Edna Mahan Corr. Inst. for Women, No. 04-1786, 128 Fed.Appx. 240 (3rd Cir.2005). The facts before the court are that Elliott was assigned to investigate the shooting of the pit bull, he conducted his investigation, and determined that the shooting was justified and consistent with police department directives. The facts do not support a finding that Elliott had any personal involvement in the events complained of by plaintiff. Therefore, he will be granted summary judgment. F. Municipal Liability The complaint alleges that the City of Wilmington is being sued for Spell-Doe 5’s conduct as its city supervisor and decisionmaker. Defendants take",377395
"de novo. United States v. Black, 125 F.3d 454, 458 (7th Cir.1997). Tuner asserts that 18 U.S.C. § 1033 (which makes it illegal for employees to embezzle — among other things — from insurance companies) exceeds Congress’ power under the Commerce Clause, criminalizing a wholly intrastate activity. Turner’s specific argument is' that: (1) criminal acts are not encompassed within the Commerce Clause power, and (2) even though insurance affects interstate commerce, his conduct, which merely affected the insurance company, did not directly affect interstate commerce and cannot be regulated. A. The Poiver to Regulate Interstate Commerce The Court has enunciated three broad categories of activities that Congress may regulate using the power delegated to it in the Commerce Clause. E.g.,  REDACTED First, Congress may regulate the channels of interstate commerce. Id. Channels refer to the transportation of a commodity or travel in interstate commerce. See, e.g., Heart of Atlanta Motel, Inc. v. United States, 379 U.S. 241, 256, 85 S.Ct. 348, 13 L.Ed.2d 258 (1964) (interstate travel and places of public accommodation); United States v. Darby, 312 U.S. 100, 114, 61 S.Ct. 451, 85 L.Ed. 609 (1941) (shipment of manufactured goods); Caminetti v. United States, 242 U.S. 470, 489-91, 37 S.Ct. 192, 61 L.Ed. 442 (1917) (women and girls transported for “immoral” purposes); Lottery Case (Champion v. Ames), 188 U.S. 321, 23 S.Ct. 321, 47 L.Ed. 492 (1903) (lottery tickets). Second, Congress may regulate and protect",733653
"v. Catrett, 477 U.S. 317, 322, 106 S.Ct. 2548, 91 L.Ed.2d 265 (1986). Summary judgment is appropriate if no material factual issue exists and the only issue before the Court is a legal issue. EarthData, Int’l of N.C., L.L.C. v. STV, Inc., 159 F.Supp.2d 844 (E.D.Pa.2001); In re Air Nail Co., Inc., 329 B.R. 512 (Bankr.W.D.Pa.2005). The test under Fed.R. Civ.P. 56 is “whether the moving party is entitled to judgment as a matter of law.” Med. Protective Co. v. Watkins, 198 F.3d 100, 103 (3d Cir.1999) (quoting Armbruster v. Unisys Corp., 32 F.3d 768, 777 (3d Cir.1994)). In deciding a motion for summary judgment, the Court must construe the facts in a light most favorable to the non-moving party.  REDACTED Once the moving party satisfies its burden of establishing a prima facie case for summary judgment, the non-moving party must do more than raise some metaphysical doubt as to material facts. Boyle v. County of Allegheny, 139 F.3d 386, 393 (3d Cir.1998) (quoting Matsushita Elec. Indus. Co. v. Zenith Radio Corp., 475 U.S. 574, 586, 106 S.Ct. 1348, 89 L.Ed.2d 538(1986)). No issue for trial exists, in fact, unless the non-moving party can adduce sufficient evidence favoring it on the disputed factual issue such that a reasonable jury could return a verdict in its favor. See Celotex, 477 U.S. at 322, 106 S.Ct. 2548. DISCUSSION The narrow issue presented by the Motion is whether Dominion was permitted to unilaterally terminate gas service",544254
